bikeid,tripduration_mins_sum
3062,636.98
3063,775.67
3064,534.72
3066,554.67
3067,465.7
3070,791.3
3076,426.09
3077,277.45
3078,1123.06
3079,1486.41
3080,486.28
3081,45.73
3082,159.23
3083,489.22
3084,457.86
3085,230.52
3087,717.07
3088,701.68
3089,21.98
3092,700.19
3095,491.1
3096,707.79
3097,445.55
3098,323.78
3099,708.34
3100,121.51
3104,498.84
3106,1035.19
3107,415.65
3108,601.37
3110,587.77
3111,1879.33
3112,747.39
3113,604.35
3114,822.1
3115,767.69
3119,564.28
3120,621.36
3122,208.89
3123,839.7
3124,1127.7
3125,625.2
3128,414.3
3129,67.55
3130,165.73
3133,451.69
3134,831.84
3137,87.95
3138,700.21
3140,92.02
3141,178.19
3142,217.46
3146,574.6
3147,4146.81
3148,117.54
3151,474.73
3153,4.02
3154,380.38
3155,483.61
3157,613.52
3160,6632.36
3161,552.87
3162,21.73
3163,875.06
3165,246.49
3167,737.75
3168,65.84
3169,999.5
3173,597.52
3175,388.16
3176,257.28
3178,67.14
3179,666.36
3180,242.95
3183,801.56
3184,188.35
3186,447.88
3187,578.21
3188,484.05
3189,765.2
3190,718.58
3191,198.53
3195,601.39
3196,604.38
3198,694.62
3199,36.48
3202,490.01
3203,596.78
3204,9.82
3205,459.45
3206,355.14
3208,776.43
3209,410.99
3210,228
3212,610.12
3215,309.75
3216,219.51
3221,461.4
3222,1058.3
3223,3.45
3224,320.65
3225,158.1
3226,650.15
3229,369.43
3231,236.14
3232,457.49
3233,876.66
3234,532.88
3238,653
3239,560.9
3241,122.75
3244,167.97
3246,505.24
3247,336.23
3248,525.22
3250,613.8
3252,24.26
3254,1090.4
3255,539.71
3256,266.11
3259,908.8
3260,267.01
3261,972.66
3262,88.83
3263,549.47
3267,464.43
3268,364.47
3269,689.82
3270,161.67
3271,585.58
3272,219.69
3273,16.9
3274,220.18
3275,927.37
3276,608.03
3277,2736.09
3279,535.81
3280,771.46
3283,118.29
3286,602.02
3287,457.02
3288,84.42
3289,755.23
3290,11.59
3292,193.68
3294,638.11
3297,223
3298,658.11
3302,464.15
3303,518.5
3304,46.67
3305,720.12
3307,124.92
3309,534.95
3326,403.63
3329,838.39
3330,482.75
3333,405.93
3335,995.28
3339,80.8
3340,1036.4
3343,90.37
3345,1629.06
3347,677.99
3348,236.87
3349,720.07
3350,1007.45
3351,638.31
3352,570.13
3353,646.62
3354,922.93
3359,690.4
3360,976.57
3361,992.83
3363,739.67
3364,2015.71
3365,538.59
3366,811.17
3369,949.19
3370,40.75
3372,436.19
3373,477.37
3374,172.12
3377,1174.48
3378,224.45
3380,905.14
3381,452.78
3382,587.88
3383,788.26
3384,646.9
3387,951.7
3388,514.26
3389,320.34
3390,13.7
3391,1039.61
3392,212.86
3393,737.7
3394,109.46
3395,551.47
3396,775.59
3397,585.59
3398,510.36
3399,630.04
3400,1075.27
3402,615.38
3403,888.02
3405,1094.97
3408,1199.84
3409,812.4
3411,746.91
3412,438.25
3415,31.59
3418,699.68
3419,813.54
3421,363.03
3422,1141.14
3423,653.7
3424,712.59
3425,742.15
3426,326.91
3428,767.86
3429,873.38
3430,538.73
3432,233.26
3434,273.15
3435,727.98
3436,488.41
3438,1204.58
3439,63.46
3440,751.11
3441,934.02
3442,1051.21
3445,542.43
3446,137.19
3447,804.77
3449,507.67
3450,348.05
3453,917.64
3454,1543.76
3456,931.81
3457,408.25
3461,731.2
3462,517.78
3463,1314.42
3467,681.57
3469,844.06
3470,645.97
3471,849.03
3473,783.5
3474,554.95
3475,219.12
3476,1031.72
3480,600.04
3481,513.24
3482,45.83
3485,2.67
3487,48.27
3488,898.93
3489,869.66
3490,494.92
3492,285.23
3493,921.25
3499,912.08
3500,55.68
3501,600.44
3502,763.73
3503,482
3504,961.28
3505,536.68
3506,770.66
3507,1084.9
3508,729.78
3513,395.65
3515,589.6
3516,693.99
3518,1058.11
3519,524.31
3522,751.35
3523,482.14
3524,478.57
3525,410.85
3526,862.42
3530,339.72
3532,751.25
3533,365.78
3536,779.08
3539,771.16
3542,375.53
3543,1081.33
3545,658.79
3546,34.21
3548,770.34
3549,718.91
3550,1034.37
3551,18.7
3552,163.78
3553,126.76
3554,739.98
3555,854.51
3556,267.45
3557,29.72
3560,165.81
3561,146.32
3562,778.78
3563,777.99
3564,784.45
3570,365.72
3571,667.22
3572,684.94
3573,817
3576,34.5
3577,97.4
3578,1067.74
3580,494.49
3581,1160.95
3583,582.81
3584,403.1
3585,927.25
3586,770.32
3587,341.4
3589,861.97
3591,262.7
3592,121.12
3593,397.54
3594,1301.9
3596,659.43
3598,660.14
3599,814.96
3600,467.76
3601,643.55
3602,684.15
3603,966.8
3605,812.1
3606,60.32
3608,891.95
3609,1786.46
3611,638.73
3612,104.61
3614,457.19
3617,639.08
3618,806.36
3619,394.59
3620,730.84
3621,780.07
3623,574.79
3625,397.73
3627,530.5
3630,976.39
3631,728.98
3634,692.49
3636,511.86
3639,709.73
3641,207.87
3643,614.66
3644,442.19
3645,402.61
3646,548.1
3648,814.24
3649,838.74
3650,370.81
3652,28.2
3654,171.79
3655,6148.76
3656,475.58
3657,776.03
3659,621.85
3660,5.2
3663,760
3668,896.32
3669,646.44
3670,774.56
3671,254.5
3672,728.75
3675,149.35
3676,711.52
3677,317.85
3679,250.63
3680,568.04
3681,868.83
3682,76.74
3683,96.12
3684,490.26
3685,681.13
3686,455.91
3687,513.51
3688,804.04
3690,271.85
3691,920.62
3693,725.79
3694,874.58
3695,1144.66
3696,699.95
3698,494.13
3703,21.72
3704,478.36
3705,445.11
3707,786.55
3708,407.45
3709,1048.48
3710,1120.71
3711,713.67
3713,1202.13
3714,170.31
3715,857.42
3716,1395.97
3717,488.01
3718,125.39
3719,579.83
3720,785.56
3721,1077.57
3722,2600.86
3723,270.91
3724,174.7
3725,1026.86
3726,1135.85
3728,1048.75
3729,607.16
3732,865.05
3734,804.36
3735,550.32
3737,58.93
3738,948.68
3740,859.6
3741,891.11
3743,345.77
3746,648.93
3747,855.2
3748,2094.77
3749,554.59
3750,738.38
3751,1102.16
3755,539.13
3757,88.79
3759,1029.19
3763,845.72
3767,663.14
3768,668.07
3769,112.72
3774,159.36
3775,396.66
3776,721.6
3777,669.07
3780,830.6
3781,698.73
3782,782.37
3783,971.76
3784,615.54
3785,562.1
3787,1265.19
3790,435.2
3791,243.14
3792,721.19
3793,589.14
3794,754.34
3797,648.03
3798,63.89
3799,580.85
3800,824.6
3804,1654.91
3805,644.51
3806,144.49
3808,627.16
3811,1231.52
3814,898.89
3815,543.87
3817,675.92
3818,889.81
3819,536.66
3820,468.44
3821,496.29
3822,530.35
3826,762.28
3827,443.37
3828,122.94
3829,1159.1
3830,786.08
3831,1373.18
3835,686.03
3837,579.74
3840,358.07
3841,179.73
3842,129.81
3843,843.4
3844,923.32
3847,936.27
3848,944.64
3849,666.42
3850,129.1
3851,935.88
3852,811.97
3854,581.18
3857,765.68
3859,652.4
3861,1240.14
3862,400.53
3863,426.15
3864,144.22
3865,398.34
3866,623.47
3867,765.26
3869,9.32
3870,1124.6
3871,567.49
3874,945.88
3875,285.18
3876,135.79
3877,412.95
3878,731.99
3882,96.93
3883,695.27
3885,466.23
3887,358.18
3889,114.55
3890,636.49
3892,1001.38
3894,975.99
3895,892.55
3896,675.56
3897,78.92
3898,767.96
3901,1107.41
3902,604.44
3904,771.87
3906,868.25
3908,495.08
3909,755.8
3911,355.33
3912,781.91
3913,7.24
3914,3296.77
3915,673.59
3918,70.4
3919,736.67
3920,355.75
3921,9.31
3922,679.69
3924,827
3927,895.9
3932,920.95
3935,1044.18
3937,838.64
3938,414.08
3939,1133.41
3940,1031.97
3941,746.79
3942,334.11
3943,751.96
3945,377.31
3946,797.63
3947,1055.66
3949,520.74
3950,712.96
3952,930.86
3953,573.54
3954,1087
3955,74.9
3956,103.67
3957,84.97
3958,406.22
3961,859.16
3966,735.41
3968,507.34
3969,741.43
3970,249.13
3972,712.98
3973,927.1
3974,733.56
3975,892.93
3977,556.85
3978,456.4
3980,40.97
3981,952.24
3985,311.38
3988,898.95
3989,532.09
3990,548.34
3992,858.32
3994,614.13
3995,203.44
3996,45.34
3997,629.52
3998,215.2
3999,565.96
4000,844.95
4001,1082.85
4002,659.41
4003,659.93
4005,493.93
4008,263.78
4010,698.89
4012,953.22
4013,693.79
4016,947.62
4018,599.99
4019,868.18
4020,586.97
4021,944.27
4022,281.41
4023,327.43
4027,454.04
4028,36.18
4029,852.73
4031,746.21
4032,569.79
4033,50.83
4034,281.83
4035,647.81
4036,1066.6
4040,99
4042,319.93
4043,280.63
4044,965.32
4045,1000.35
4047,1025.67
4048,690.42
4049,454.2
4050,8.55
4051,1297.98
4052,981.24
4054,117.05
4055,888.53
4056,1079.42
4058,1023.72
4060,648.89
4061,171.4
4062,1164.41
4064,167.12
4065,622.52
4066,609.31
4067,724.85
4068,276.32
4070,1073.26
4071,11.32
4072,71.51
4073,879.77
4074,833.16
4076,1998.12
4080,455.41
4082,1198.69
4083,72.91
4084,689.31
4086,491.51
4087,655.19
4088,999.55
4089,542.85
4090,450.45
4091,119.56
4092,480.12
4094,735.06
4095,1189.87
4096,1257.71
4099,1409.46
4100,522.24
4101,134.08
4102,892.88
4104,635.34
4106,57.28
4107,316.9
4109,534.49
4110,928.94
4111,734.68
4112,1013.57
4115,1023.37
4116,373.09
4119,967.69
4120,959.3
4122,721.96
4124,411.92
4126,498
4127,509.19
4129,124.81
4130,1668.46
4131,603.65
4133,875.24
4134,495.6
4135,691.36
4137,958.65
4140,474.77
4144,195.67
4145,1101.9
4148,679.04
4149,1093.34
4150,646
4151,731.95
4154,58.06
4155,860.23
4156,800.76
4157,854.2
4158,715.75
4159,900.27
4160,680.89
4161,860.48
4165,850.01
4166,552.7
4167,714
4168,625.42
4169,207.83
4171,586.07
4173,1594.95
4174,377.37
4175,2160.06
4176,324.7
4177,251.79
4179,209.26
4180,1088.84
4184,687.88
4189,722.49
4190,73.2
4191,767.33
4192,694.85
4194,1096.81
4195,558.25
4196,890.35
4197,753.28
4198,829.2
4199,594.09
4200,1196.93
4202,905.79
4204,725.78
4207,799.13
4208,119.38
4210,622.18
4212,575.93
4213,693.59
4214,385.51
4215,922.91
4219,304.24
4220,1058.77
4222,857.04
4223,581.56
4244,1051.82
4245,1771.22
4247,665.4
4248,630.94
4250,878.79
4252,783.22
4254,549.07
4257,830.57
4259,63.96
4264,604.74
4265,885.65
4266,657.85
4269,664.39
4271,672.26
4272,1262.31
4275,2550.47
4276,874.72
4277,768.59
4278,147.82
4303,898.83
4344,360.59
4345,136.09
4347,136.44
4348,685.45
4349,835.18
4350,127.68
4351,1079.02
4352,697.34
4353,531.69
4357,897.56
4358,954.45
4359,944.13
4360,228.52
4361,707.08
4362,799.68
4364,333.23
4365,1588.21
4366,343.22
4367,119.12
4368,244.4
4369,741.87
4370,736.64
4371,476.68
4372,1042.78
4373,21.16
4375,837.71
4377,151.57
4378,567.78
4380,676.91
4381,330.13
4382,1483.42
4384,1131.8
4385,641.13
4387,745.2
4391,1215.03
4392,879.91
4393,89.69
4394,608.73
4396,626.25
4397,608.97
4398,14.5
4399,328.62
4400,744.28
4401,473.22
4402,79.78
4403,737.21
4404,57.11
4406,406.49
4407,167.67
4408,855.7
4410,125.21
4412,2509.98
4414,798.94
4415,721.43
4417,74.62
4419,3946.53
4420,919.06
4421,650.02
4423,171.99
4424,675
4425,574.19
4427,875.43
4429,835.87
4430,310.07
4432,790.88
4434,218.11
4435,757.28
4436,886.69
4439,1075.4
4441,1814.24
4442,775.61
4443,832.33
4446,1317.38
4447,32.8
4448,925.39
4450,333.74
4451,772.32
4453,307.75
4455,806.06
4456,760.31
4457,900.26
4458,340.93
4460,961.22
4462,681.99
4463,435.9
4465,798.88
4466,696.15
4467,600.65
4468,716.95
4469,747.68
4471,1012.42
4472,4481.44
4473,739.54
4474,141.5
4475,462.99
4478,853.64
4479,930.36
4483,706.81
4484,455.64
4485,726.93
4487,1083.56
4489,347.96
4490,375.21
4491,679.33
4492,735.39
4493,490.75
4494,419.53
4495,206.49
4496,632.9
4502,558.15
4503,538.94
4504,750.32
4506,641.32
4508,803
4509,486.24
4510,1067.53
4511,6.4
4513,90.43
4514,641.13
4517,82.37
4518,603.22
4520,716.2
4521,907.97
4523,454.84
4525,263.62
4526,1000.08
4527,317.96
4530,1094.91
4532,62.37
4535,1042.29
4536,4932.53
4538,746.87
4539,692.48
4540,226.88
4553,626.59
4558,1860.74
4560,222.62
4561,901.5
4562,889.9
4565,80.86
4587,289.46
4620,800.79
4654,583.43
4655,1166.73
4656,931.66
4657,993.61
4658,792.89
4659,4235.55
4660,619.83
4661,700.11
4662,955.73
4663,712.59
4664,577.73
4665,2004.53
4666,872.16
4667,1697.19
4668,425.19
4669,573.46
4670,945.71
4671,581.33
4672,441.77
4673,383.97
4674,70.2
4675,698.57
4676,825.35
4677,1059.07
4678,2552.36
4679,672.92
4680,808.8
4681,702.06
4682,630.13
4683,607.46
4684,74.85
4686,140.37
4687,841.08
4688,210.5
4689,1032.99
4690,324.15
4693,756.5
4694,101.41
4695,762.92
4698,319.31
4700,299.27
4702,819.61
4703,128.2
4704,751.31
4705,400.21
4706,430.28
4707,239.91
4708,955.8
4710,51.03
4711,499.51
4712,709.72
4713,1004.91
4714,14.65
4715,417.44
4716,800.36
4720,742.05
4722,515.77
4723,936.28
4724,580.75
4725,1129.76
4726,544.27
4729,779.33
4731,955.1
4732,799.77
4733,255.57
4734,659.7
4735,337.7
4736,551.74
4737,977.99
4738,201.68
4739,6933.56
4740,843.8
4742,33.67
4743,1080.42
4744,1032.14
4745,454.36
4748,521.56
4749,1256.81
4750,468.75
4751,181.92
4752,143.07
4753,1972.89
4755,529.93
4756,581.73
4757,482.35
4758,895.9
4759,587.79
4760,873.07
4761,288.78
4762,106.5
4763,3176.58
4765,337.78
4766,1041.29
4767,114.01
4768,611.02
4769,2831.79
4770,322.44
4771,346.23
4773,854.58
4774,86.09
4775,239.07
4776,836.65
4777,916.64
4778,950.07
4779,1922.36
4781,680.02
4782,908.61
4783,156.01
4784,1080.52
4786,519.62
4788,1797.31
4790,940.78
4791,729.48
4792,1047.05
4793,729.61
4794,258.13
4795,1184.55
4796,765.84
4797,790.76
4799,832.04
4800,12.92
4801,831.71
4802,283.49
4803,77.93
4804,85.76
4807,862.35
4809,1262.08
